@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Median_4.0 numeric
@attribute class {plant1,plant2,plant3,background}

@data
63.666667,36,51,69,63.666667,63.666667,58.666667,62.666667,63.666667,65.333333,54.666667,63.333333,66.333333,68.333333,42.333333,68.333333,plant1
66.333333,36,53,72,66.333333,68.333333,62,67.666667,67.666667,68.666667,57.666667,67.666667,68.333333,68.333333,42.333333,68.666667,plant1
73.333333,36,48,79,73.333333,72.333333,62.333333,73.333333,72.333333,71.333333,57.666667,73,70.333333,68.333333,42.333333,69,plant1
77,37,49,83,77,74.333333,71,74.666667,75,72.333333,62.333333,73.333333,71.666667,68.666667,48,69,plant1
73,37,51,79,73,73.333333,65.333333,74,73,71.666667,58.333333,72.333333,70.666667,69.666667,57.333333,69.666667,plant1
56.333333,36,61,62,57.333333,61.333333,54.666667,62.333333,60.333333,63.333333,54.666667,63.333333,63.333333,65.333333,50,66.333333,plant1
60.333333,36,57,66,60.333333,60.333333,54.666667,62,61,62.333333,54.666667,62.333333,63.333333,66,42.333333,66.333333,plant1
62,37,60,68,62,62,57.666667,62,62.333333,63,50,63,64,66,42.333333,67,plant1
62.333333,36,56,68,62.333333,65,57.666667,63.666667,64.333333,66,50,65,66,66,42.333333,66.333333,plant1
71.333333,36,49,77,71.333333,70,57.666667,71.333333,70,69,50,71,68,66,42.333333,66,plant1
78,37,48,84,77.666667,74.333333,66.666667,75,74.666667,70.333333,57.333333,71.333333,69.666667,66.333333,42.333333,66.333333,plant1
75,40,53,81,75,73,63.333333,75,73,70.333333,58.333333,71.333333,69.666667,67.333333,48,68,plant1
65.333333,37,63,72,65.333333,67,58.333333,65.333333,67,69,58.333333,69,69,69.333333,54.333333,69.666667,plant1
58.333333,37,70,65,59.333333,64,58.333333,64,63.333333,68.666667,58.333333,69,68.333333,70.333333,54.333333,71,plant1
66.333333,36,53,72,66.333333,65,56.333333,66.333333,65.333333,64.333333,54.666667,65.333333,64,63,37.666667,63.333333,plant1
63,37,59,69,63,64.333333,56.333333,64.666667,64,64,54.666667,64.666667,63.333333,62.333333,42.333333,63.333333,plant1
64.666667,37,61,71,64.666667,63,56.333333,62.666667,63.666667,62,50,63,63,63,42.333333,63.333333,plant1
62.666667,37,62,69,62.666667,61,50,62,61.666667,61.333333,42.333333,62,62,63.666667,42.333333,63.333333,plant1
57.666667,37,67,64,57.666667,61,50,62,60.666667,62.666667,42.333333,63,62.666667,63.666667,42.333333,64.666667,plant1
66.666667,37,59,73,66.666667,65.666667,50,66.666667,65.666667,65,42.333333,66,64.666667,63.666667,42.333333,65,plant1
76.666667,40,55,83,75.666667,71.666667,57.666667,73.666667,72.333333,67.333333,48,68,67,64,42.333333,65,plant1
76.333333,40,58,83,75.333333,71.666667,63.333333,73.333333,72,68.333333,57.666667,68,67.666667,65,42.333333,65.333333,plant1
63.333333,40,69,70,64,67,58.333333,65.666667,66.333333,68,58.333333,66.333333,67.333333,67,48,67.333333,plant1
59.333333,40,73,66,60,64,58.333333,65,63.666667,68,58.333333,66,67.333333,69,52.666667,70,plant1
65.333333,37,63,72,65.333333,67.666667,58.333333,65.666667,67.333333,69.333333,58.333333,67.666667,69.333333,70,52.333333,71.333333,plant1
69,37,54,75,69,67,62.333333,67,67,64,48.666667,64.666667,63.333333,61,37.666667,62,plant1
67.666667,37,58,74,67.666667,67.666667,63,69,67,64,55.333333,63.333333,63,60,37.666667,62,plant1
69.666667,37,57,76,68.666667,64.666667,55.666667,64.666667,65.666667,61.666667,42.333333,62,61.666667,60.666667,42.333333,62,plant1
59.666667,37,65,66,59.666667,59.333333,42.333333,59.666667,59.333333,59.333333,42.333333,60.333333,60.333333,61.666667,42.333333,63,plant1
50,38,85,57,51,55.666667,42.333333,57.333333,54.666667,59.333333,42.333333,61,59.333333,62.666667,42.333333,63,plant1
57.666667,40,71,64,57.666667,58.666667,42.333333,58,58.666667,60.666667,42.333333,61,61,63,42.333333,63.333333,plant1
69.666667,40,60,76,69.666667,66.333333,48,68,66.666667,62.666667,42.333333,64.333333,63,63,42.333333,64.333333,plant1
73.333333,40,60,80,72.666667,68.666667,61,67.333333,69.333333,65,48,65,65,63.333333,42.333333,64.333333,plant1
66.333333,36,68,74,66.333333,66.666667,59.333333,65.333333,66.333333,65.666667,54.333333,65.333333,65,64.666667,42.333333,65.333333,plant1
65.333333,36,69,73,65.333333,65,59.333333,65,65.333333,66,54.333333,65.333333,66,66.333333,48,65.666667,plant1
71,38,62,78,71,69,59.333333,68.333333,69,67.666667,54.333333,65.666667,68.333333,68.333333,52,67.666667,plant1
62.333333,36,56,68,62.333333,60.333333,48.666667,62.333333,61.333333,59.333333,37.666667,62.333333,60.333333,61.333333,37.666667,63,plant1
69,37,54,75,69,65,59.666667,65.333333,66,63,48.666667,63,62,60,37.666667,61.333333,plant1
69.666667,37,57,76,69.666667,66.666667,58.666667,69,66.666667,63,53.333333,63,62.666667,59.333333,37.666667,61,plant1
70.333333,37,59,77,69.333333,62.666667,53.333333,59.666667,64,60,42.333333,59.666667,60.666667,59.666667,42.333333,61.666667,plant1
55.666667,40,74,62,55.666667,56,42.333333,55.666667,56.333333,57.333333,42.333333,57.333333,58.333333,60.666667,42.333333,62,plant1
