@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Median_4.0 numeric
@attribute class {plant1,plant2,plant3,background}

@data
72.666667,49,60,80,62.333333,63,63,33.333333,72.666667,32.333333,63.666667,74.666667,69.333333,70.333333,25.333333,57.666667,74.666667,68.333333,66.666667,16,50.333333,74.666667,63.666667,plant1
68.333333,51,63,76,63,63,63,42,68.333333,40,60.333333,74.666667,66.666667,67.333333,31.333333,56.666667,74.666667,64.666667,65.333333,18.333333,50.333333,74.666667,63.666667,plant1
63.666667,49,68,71,63.333333,64,64,27,63.666667,26,60.333333,69.333333,63.666667,63.666667,22,56.666667,74.666667,63.666667,63.333333,16,50.333333,74.666667,62.666667,plant1
62.666667,49,69,70,61,61,61,11.333333,62.666667,11,60.333333,64.666667,62.666667,62.666667,9.333333,56.666667,69.333333,62.666667,61.666667,11,48.666667,74.666667,60.333333,plant1
63.666667,49,68,71,61.666667,61.666667,61.666667,11,63.666667,10,60.333333,64.666667,62.666667,62.666667,6.333333,56.666667,64.666667,61.333333,60.666667,10.333333,48.333333,74.666667,59.333333,plant1
68.333333,51,63,76,62.666667,62.666667,62.666667,36,68.333333,35,61.333333,72.666667,66.666667,66.666667,28,56.666667,74.666667,63.666667,64.666667,16,50.333333,74.666667,63.666667,plant1
66.666667,49,65,74,62.333333,62.333333,62.333333,47,66.666667,45.333333,57.666667,72.666667,66.666667,66.333333,37,53.666667,74.666667,63.666667,64.333333,21,50.333333,74.666667,62.666667,plant1
63.666667,49,68,71,60.666667,60.666667,61.666667,47.666667,63.666667,46,56.666667,72.666667,63.666667,63.666667,38,53.666667,74.666667,63.666667,62.666667,22,50.333333,74.666667,62.666667,plant1
60.333333,51,71,68,61,62.666667,63.333333,32,60.333333,31.666667,56.666667,68.333333,60.333333,61.333333,28,53.666667,72.666667,61.333333,61.666667,18,50.333333,74.666667,61.333333,plant1
60.333333,51,71,68,61,61,61,21.333333,60.333333,21,56.666667,63.666667,60.333333,60.666667,18.333333,53.666667,68.333333,61.333333,60.666667,12,48.666667,74.666667,60.333333,plant1
61.333333,51,70,69,61,61,61.333333,17,61.333333,16,57.666667,63.666667,61.333333,61.333333,12.333333,54.666667,64.666667,61.333333,60.333333,9,47.333333,72.666667,60.333333,plant1
62.666667,49,69,70,61,61,61,20.666667,62.666667,20.333333,56.666667,63.666667,61.333333,60.666667,18.666667,48.666667,64.666667,60.333333,59,13.333333,46,68.333333,59.333333,plant1
62.666667,49,69,70,60.333333,60.333333,60.333333,11,62.666667,11,60.333333,68.333333,63.666667,63.333333,9,56.666667,72.666667,63.666667,63.333333,7.333333,50.333333,74.666667,62.666667,plant1
